AreaInPixels,PhysicalSize,Polygon
222,222,[110490.0:45174.0:110489.0:45175.0:110487.0:45175.0:110486.0:45176.0:110486.0:45180.0:110493.0:45187.0:110496.0:45187.0:110497.0:45188.0:110498.0:45188.0:110499.0:45187.0:110501.0:45187.0:110502.0:45186.0:110503.0:45186.0:110505.0:45184.0:110505.0:45179.0:110503.0:45177.0:110502.0:45177.0:110500.0:45175.0:110498.0:45175.0:110497.0:45174.0]
457,457,[111767.0:45169.0:111766.0:45170.0:111765.0:45170.0:111764.0:45171.0:111763.0:45171.0:111763.0:45172.0:111762.0:45173.0:111762.0:45182.0:111763.0:45183.0:111763.0:45187.0:111764.0:45188.0:111764.0:45190.0:111765.0:45191.0:111765.0:45192.0:111768.0:45195.0:111771.0:45195.0:111772.0:45196.0:111773.0:45196.0:111774.0:45195.0:111775.0:45195.0:111776.0:45194.0:111777.0:45194.0:111779.0:45192.0:111780.0:45192.0:111781.0:45191.0:111781.0:45190.0:111782.0:45189.0:111782.0:45183.0:111781.0:45182.0:111781.0:45180.0:111780.0:45179.0:111780.0:45178.0:111779.0:45177.0:111779.0:45176.0:111778.0:45175.0:111778.0:45174.0:111777.0:45173.0:111777.0:45172.0:111776.0:45171.0:111776.0:45170.0:111775.0:45169.0]
153,153,[110714.0:45175.0:110712.0:45177.0:110712.0:45179.0:110711.0:45180.0:110711.0:45183.0:110717.0:45189.0:110723.0:45189.0:110724.0:45188.0:110724.0:45187.0:110725.0:45186.0:110725.0:45184.0:110723.0:45182.0:110723.0:45181.0:110718.0:45176.0:110717.0:45176.0:110716.0:45175.0]
487,487,[111725.0:45171.0:111723.0:45173.0:111723.0:45175.0:111722.0:45176.0:111722.0:45179.0:111723.0:45180.0:111723.0:45182.0:111725.0:45184.0:111725.0:45185.0:111726.0:45186.0:111726.0:45188.0:111728.0:45190.0:111728.0:45191.0:111730.0:45193.0:111734.0:45193.0:111735.0:45194.0:111736.0:45193.0:111739.0:45193.0:111740.0:45192.0:111741.0:45192.0:111743.0:45190.0:111743.0:45189.0:111744.0:45188.0:111744.0:45187.0:111745.0:45186.0:111745.0:45182.0:111746.0:45181.0:111748.0:45181.0:111749.0:45182.0:111751.0:45182.0:111752.0:45181.0:111751.0:45180.0:111751.0:45178.0:111747.0:45174.0:111745.0:45174.0:111744.0:45173.0:111735.0:45173.0:111734.0:45172.0:111732.0:45172.0:111731.0:45171.0]
408,408,[108205.0:45173.0:108203.0:45175.0:108202.0:45175.0:108202.0:45176.0:108200.0:45178.0:108200.0:45184.0:108201.0:45185.0:108201.0:45186.0:108203.0:45188.0:108204.0:45188.0:108206.0:45190.0:108207.0:45190.0:108210.0:45193.0:108211.0:45193.0:108212.0:45194.0:108219.0:45194.0:108220.0:45193.0:108221.0:45193.0:108222.0:45192.0:108222.0:45190.0:108223.0:45189.0:108223.0:45182.0:108220.0:45179.0:108220.0:45178.0:108216.0:45174.0:108215.0:45174.0:108214.0:45173.0]
371,371,[109616.0:45174.0:109615.0:45175.0:109611.0:45175.0:109610.0:45176.0:109607.0:45176.0:109606.0:45177.0:109605.0:45177.0:109604.0:45178.0:109594.0:45178.0:109593.0:45179.0:109593.0:45182.0:109594.0:45183.0:109595.0:45183.0:109596.0:45184.0:109597.0:45184.0:109600.0:45187.0:109600.0:45188.0:109601.0:45189.0:109602.0:45189.0:109603.0:45190.0:109608.0:45190.0:109609.0:45189.0:109615.0:45189.0:109616.0:45188.0:109617.0:45188.0:109618.0:45187.0:109619.0:45187.0:109619.0:45186.0:109620.0:45185.0:109620.0:45181.0:109621.0:45180.0:109623.0:45180.0:109625.0:45178.0:109627.0:45178.0:109628.0:45177.0:109629.0:45178.0:109632.0:45178.0:109631.0:45178.0:109630.0:45177.0:109629.0:45177.0:109628.0:45176.0:109619.0:45176.0:109618.0:45175.0:109618.0:45174.0]
97,97,[110452.0:45178.0:110451.0:45179.0:110451.0:45180.0:110450.0:45181.0:110451.0:45182.0:110451.0:45184.0:110452.0:45185.0:110452.0:45186.0:110454.0:45188.0:110459.0:45188.0:110461.0:45186.0:110461.0:45185.0:110462.0:45184.0:110462.0:45183.0:110461.0:45182.0:110461.0:45181.0:110459.0:45181.0:110458.0:45182.0:110457.0:45181.0:110457.0:45180.0:110455.0:45178.0]
172,172,[110314.0:45176.0:110310.0:45180.0:110310.0:45187.0:110311.0:45188.0:110311.0:45189.0:110314.0:45192.0:110317.0:45192.0:110318.0:45191.0:110319.0:45191.0:110321.0:45189.0:110321.0:45188.0:110322.0:45187.0:110322.0:45183.0:110321.0:45182.0:110321.0:45179.0:110320.0:45178.0:110319.0:45178.0:110318.0:45177.0:110317.0:45177.0:110316.0:45176.0]
142,142,[111141.0:45178.0:111138.0:45181.0:111138.0:45182.0:111137.0:45183.0:111137.0:45187.0:111138.0:45188.0:111138.0:45189.0:111140.0:45191.0:111141.0:45191.0:111142.0:45190.0:111145.0:45190.0:111146.0:45189.0:111148.0:45189.0:111149.0:45188.0:111149.0:45183.0:111148.0:45182.0:111148.0:45181.0:111147.0:45180.0:111147.0:45179.0:111146.0:45178.0]
340,340,[111190.0:45178.0:111189.0:45179.0:111188.0:45179.0:111187.0:45180.0:111186.0:45180.0:111185.0:45181.0:111184.0:45181.0:111183.0:45182.0:111182.0:45182.0:111181.0:45183.0:111180.0:45183.0:111177.0:45186.0:111177.0:45187.0:111176.0:45188.0:111176.0:45189.0:111177.0:45190.0:111177.0:45191.0:111178.0:45192.0:111179.0:45192.0:111180.0:45193.0:111181.0:45193.0:111182.0:45194.0:111187.0:45194.0:111188.0:45193.0:111189.0:45193.0:111190.0:45192.0:111201.0:45192.0:111201.0:45188.0:111202.0:45187.0:111202.0:45186.0:111201.0:45185.0:111201.0:45179.0:111200.0:45178.0:111196.0:45178.0:111195.0:45179.0:111194.0:45179.0:111193.0:45178.0]
693,693,[108389.0:45176.0:108388.0:45177.0:108386.0:45177.0:108385.0:45178.0:108381.0:45178.0:108380.0:45179.0:108379.0:45179.0:108378.0:45180.0:108378.0:45182.0:108377.0:45183.0:108377.0:45184.0:108378.0:45185.0:108378.0:45186.0:108379.0:45187.0:108379.0:45188.0:108384.0:45193.0:108385.0:45193.0:108386.0:45194.0:108387.0:45194.0:108388.0:45195.0:108400.0:45195.0:108401.0:45196.0:108406.0:45196.0:108407.0:45195.0:108411.0:45195.0:108412.0:45194.0:108413.0:45194.0:108414.0:45193.0:108415.0:45193.0:108416.0:45192.0:108416.0:45191.0:108415.0:45190.0:108415.0:45186.0:108416.0:45185.0:108417.0:45185.0:108417.0:45181.0:108413.0:45177.0:108412.0:45177.0:108411.0:45176.0:108408.0:45176.0:108407.0:45177.0:108396.0:45177.0:108395.0:45176.0]
297,297,[109326.0:45175.0:109325.0:45176.0:109322.0:45176.0:109319.0:45179.0:109318.0:45179.0:109318.0:45180.0:109317.0:45181.0:109317.0:45187.0:109319.0:45189.0:109319.0:45190.0:109320.0:45191.0:109321.0:45191.0:109322.0:45192.0:109323.0:45192.0:109324.0:45193.0:109326.0:45193.0:109331.0:45198.0:109331.0:45191.0:109333.0:45189.0:109333.0:45186.0:109334.0:45185.0:109334.0:45184.0:109335.0:45183.0:109335.0:45177.0:109332.0:45177.0:109331.0:45176.0:109329.0:45176.0:109328.0:45175.0]
491,491,[109336.0:45177.0:109336.0:45183.0:109335.0:45184.0:109335.0:45185.0:109334.0:45186.0:109334.0:45189.0:109332.0:45191.0:109332.0:45199.0:109333.0:45200.0:109334.0:45200.0:109335.0:45201.0:109337.0:45201.0:109338.0:45202.0:109340.0:45202.0:109341.0:45203.0:109348.0:45203.0:109349.0:45202.0:109351.0:45202.0:109354.0:45199.0:109355.0:45199.0:109357.0:45197.0:109357.0:45192.0:109354.0:45189.0:109353.0:45189.0:109349.0:45185.0:109349.0:45184.0:109348.0:45183.0:109348.0:45182.0:109349.0:45181.0:109349.0:45180.0:109347.0:45178.0:109345.0:45178.0:109344.0:45179.0:109343.0:45179.0:109342.0:45180.0:109341.0:45180.0:109340.0:45179.0:109339.0:45179.0:109338.0:45178.0:109337.0:45178.0]
700,700,[110992.0:45175.0:110991.0:45176.0:110990.0:45176.0:110989.0:45177.0:110987.0:45177.0:110985.0:45179.0:110985.0:45180.0:110984.0:45181.0:110983.0:45181.0:110982.0:45182.0:110981.0:45182.0:110978.0:45185.0:110978.0:45186.0:110977.0:45187.0:110977.0:45207.0:110978.0:45208.0:110978.0:45210.0:110979.0:45211.0:110979.0:45212.0:110980.0:45213.0:110980.0:45214.0:110981.0:45215.0:110981.0:45217.0:110983.0:45219.0:110984.0:45219.0:110985.0:45220.0:110992.0:45220.0:110992.0:45217.0:110990.0:45215.0:110990.0:45211.0:110991.0:45210.0:110991.0:45203.0:110990.0:45202.0:110990.0:45197.0:110992.0:45195.0:110992.0:45194.0:110996.0:45190.0:111000.0:45190.0:111001.0:45189.0:111001.0:45184.0:111000.0:45183.0:111000.0:45182.0:110999.0:45181.0:110999.0:45180.0:110997.0:45178.0:110997.0:45177.0:110996.0:45176.0:110995.0:45176.0:110994.0:45175.0]
491,491,[111061.0:45178.0:111059.0:45180.0:111059.0:45181.0:111058.0:45182.0:111058.0:45185.0:111057.0:45186.0:111057.0:45188.0:111056.0:45189.0:111056.0:45190.0:111054.0:45192.0:111054.0:45198.0:111055.0:45199.0:111055.0:45200.0:111056.0:45201.0:111056.0:45202.0:111057.0:45202.0:111058.0:45203.0:111060.0:45203.0:111061.0:45202.0:111063.0:45202.0:111064.0:45201.0:111068.0:45201.0:111071.0:45204.0:111071.0:45205.0:111072.0:45206.0:111073.0:45206.0:111074.0:45207.0:111076.0:45207.0:111077.0:45206.0:111078.0:45206.0:111079.0:45205.0:111080.0:45205.0:111081.0:45204.0:111081.0:45202.0:111082.0:45201.0:111082.0:45200.0:111081.0:45199.0:111081.0:45195.0:111080.0:45194.0:111078.0:45194.0:111077.0:45193.0:111073.0:45193.0:111071.0:45191.0:111071.0:45190.0:111070.0:45189.0:111070.0:45187.0:111069.0:45186.0:111069.0:45185.0:111068.0:45184.0:111068.0:45183.0:111067.0:45182.0:111067.0:45181.0:111064.0:45178.0]
644,644,[108761.0:45179.0:108760.0:45180.0:108759.0:45180.0:108757.0:45182.0:108757.0:45183.0:108756.0:45184.0:108756.0:45185.0:108754.0:45187.0:108754.0:45188.0:108753.0:45189.0:108753.0:45192.0:108752.0:45193.0:108752.0:45201.0:108753.0:45202.0:108753.0:45205.0:108752.0:45206.0:108752.0:45207.0:108751.0:45208.0:108748.0:45208.0:108747.0:45209.0:108746.0:45209.0:108745.0:45210.0:108744.0:45210.0:108743.0:45211.0:108741.0:45211.0:108741.0:45212.0:108742.0:45213.0:108742.0:45214.0:108744.0:45214.0:108745.0:45215.0:108746.0:45215.0:108747.0:45216.0:108751.0:45216.0:108752.0:45215.0:108754.0:45215.0:108756.0:45213.0:108756.0:45212.0:108759.0:45209.0:108759.0:45208.0:108762.0:45205.0:108762.0:45204.0:108763.0:45203.0:108763.0:45202.0:108764.0:45201.0:108765.0:45201.0:108765.0:45200.0:108766.0:45199.0:108769.0:45199.0:108770.0:45198.0:108771.0:45198.0:108773.0:45196.0:108773.0:45194.0:108774.0:45193.0:108774.0:45192.0:108775.0:45191.0:108775.0:45190.0:108777.0:45188.0:108777.0:45187.0:108778.0:45186.0:108776.0:45184.0:108776.0:45183.0:108773.0:45180.0:108772.0:45180.0:108771.0:45179.0]
762,762,[111701.0:45179.0:111699.0:45181.0:111699.0:45182.0:111697.0:45184.0:111696.0:45184.0:111695.0:45185.0:111693.0:45185.0:111692.0:45186.0:111691.0:45186.0:111690.0:45187.0:111690.0:45188.0:111689.0:45189.0:111689.0:45190.0:111688.0:45191.0:111688.0:45194.0:111687.0:45195.0:111687.0:45202.0:111688.0:45203.0:111688.0:45204.0:111690.0:45206.0:111691.0:45206.0:111692.0:45207.0:111693.0:45207.0:111694.0:45208.0:111697.0:45208.0:111698.0:45209.0:111707.0:45209.0:111708.0:45208.0:111709.0:45208.0:111713.0:45204.0:111713.0:45203.0:111714.0:45202.0:111714.0:45201.0:111715.0:45200.0:111715.0:45199.0:111716.0:45198.0:111716.0:45197.0:111717.0:45196.0:111717.0:45194.0:111718.0:45193.0:111718.0:45188.0:111717.0:45187.0:111717.0:45185.0:111715.0:45183.0:111715.0:45182.0:111714.0:45181.0:111712.0:45181.0:111711.0:45180.0:111708.0:45180.0:111707.0:45179.0]
89,89,[111275.0:45186.0:111275.0:45192.0:111276.0:45193.0:111276.0:45197.0:111280.0:45201.0:111281.0:45201.0:111282.0:45202.0:111284.0:45202.0:111284.0:45196.0:111281.0:45193.0:111279.0:45193.0:111277.0:45191.0:111277.0:45187.0:111276.0:45186.0]
399,399,[108626.0:45189.0:108624.0:45191.0:108623.0:45191.0:108622.0:45192.0:108622.0:45195.0:108623.0:45196.0:108623.0:45197.0:108627.0:45201.0:108628.0:45201.0:108636.0:45209.0:108636.0:45210.0:108641.0:45210.0:108642.0:45211.0:108646.0:45211.0:108646.0:45202.0:108645.0:45201.0:108646.0:45200.0:108646.0:45198.0:108649.0:45195.0:108650.0:45195.0:108652.0:45193.0:108648.0:45193.0:108647.0:45194.0:108646.0:45193.0:108644.0:45193.0:108643.0:45192.0:108642.0:45193.0:108641.0:45193.0:108640.0:45194.0:108639.0:45193.0:108638.0:45193.0:108637.0:45192.0:108636.0:45192.0:108635.0:45191.0:108633.0:45191.0:108632.0:45190.0:108631.0:45190.0:108630.0:45189.0]
131,131,[109977.0:45192.0:109976.0:45193.0:109975.0:45193.0:109973.0:45195.0:109972.0:45195.0:109971.0:45196.0:109970.0:45195.0:109968.0:45195.0:109968.0:45198.0:109969.0:45199.0:109971.0:45199.0:109972.0:45200.0:109974.0:45200.0:109975.0:45201.0:109978.0:45201.0:109979.0:45202.0:109981.0:45202.0:109982.0:45201.0:109983.0:45201.0:109984.0:45200.0:109984.0:45195.0:109981.0:45192.0]
400,400,[109005.0:45188.0:109004.0:45189.0:108997.0:45189.0:108996.0:45190.0:108995.0:45190.0:108992.0:45193.0:108992.0:45194.0:108991.0:45195.0:108991.0:45201.0:108995.0:45205.0:108996.0:45205.0:108997.0:45206.0:108998.0:45206.0:109001.0:45209.0:109006.0:45209.0:109007.0:45208.0:109008.0:45208.0:109010.0:45206.0:109012.0:45206.0:109014.0:45204.0:109014.0:45200.0:109013.0:45199.0:109013.0:45195.0:109012.0:45194.0:109012.0:45193.0:109011.0:45192.0:109011.0:45191.0:109009.0:45189.0:109007.0:45189.0:109006.0:45188.0]
396,396,[111654.0:45188.0:111653.0:45189.0:111652.0:45189.0:111651.0:45190.0:111651.0:45197.0:111650.0:45198.0:111651.0:45199.0:111651.0:45204.0:111652.0:45204.0:111653.0:45205.0:111653.0:45206.0:111654.0:45207.0:111655.0:45207.0:111658.0:45210.0:111658.0:45209.0:111660.0:45207.0:111663.0:45207.0:111664.0:45206.0:111670.0:45206.0:111670.0:45205.0:111671.0:45204.0:111671.0:45203.0:111673.0:45201.0:111673.0:45200.0:111674.0:45199.0:111674.0:45198.0:111676.0:45196.0:111676.0:45195.0:111675.0:45194.0:111674.0:45194.0:111673.0:45193.0:111672.0:45194.0:111670.0:45194.0:111667.0:45191.0:111666.0:45191.0:111665.0:45190.0:111662.0:45190.0:111661.0:45189.0:111656.0:45189.0:111655.0:45188.0]
28,28,[108770.0:45199.0:108769.0:45200.0:108766.0:45200.0:108766.0:45201.0:108765.0:45202.0:108764.0:45202.0:108764.0:45203.0:108765.0:45203.0:108766.0:45204.0:108766.0:45205.0:108766.0:45204.0:108769.0:45201.0:108772.0:45201.0:108772.0:45199.0]
511,511,[108738.0:45185.0:108737.0:45186.0:108736.0:45186.0:108732.0:45190.0:108731.0:45190.0:108730.0:45191.0:108729.0:45191.0:108728.0:45192.0:108727.0:45192.0:108726.0:45191.0:108723.0:45191.0:108722.0:45192.0:108721.0:45192.0:108718.0:45195.0:108718.0:45204.0:108719.0:45205.0:108719.0:45206.0:108720.0:45207.0:108720.0:45208.0:108721.0:45208.0:108723.0:45210.0:108724.0:45210.0:108725.0:45211.0:108726.0:45211.0:108727.0:45212.0:108729.0:45212.0:108730.0:45213.0:108735.0:45213.0:108736.0:45212.0:108738.0:45212.0:108739.0:45213.0:108741.0:45213.0:108740.0:45212.0:108740.0:45211.0:108741.0:45210.0:108743.0:45210.0:108744.0:45209.0:108745.0:45209.0:108746.0:45208.0:108743.0:45208.0:108741.0:45210.0:108740.0:45210.0:108739.0:45209.0:108739.0:45200.0:108740.0:45199.0:108740.0:45193.0:108741.0:45192.0:108741.0:45188.0:108740.0:45188.0:108738.0:45186.0]
728,728,[110555.0:45186.0:110554.0:45187.0:110548.0:45187.0:110547.0:45188.0:110546.0:45188.0:110544.0:45190.0:110544.0:45195.0:110545.0:45196.0:110545.0:45197.0:110546.0:45198.0:110546.0:45200.0:110547.0:45201.0:110547.0:45203.0:110548.0:45204.0:110548.0:45207.0:110549.0:45208.0:110549.0:45209.0:110554.0:45214.0:110554.0:45215.0:110556.0:45217.0:110556.0:45221.0:110555.0:45222.0:110558.0:45225.0:110561.0:45225.0:110562.0:45224.0:110562.0:45219.0:110569.0:45212.0:110569.0:45210.0:110570.0:45209.0:110570.0:45194.0:110569.0:45193.0:110569.0:45192.0:110565.0:45188.0:110564.0:45188.0:110563.0:45187.0:110561.0:45187.0:110560.0:45186.0]
193,193,[108285.0:45192.0:108282.0:45195.0:108282.0:45196.0:108281.0:45197.0:108281.0:45200.0:108280.0:45201.0:108280.0:45206.0:108281.0:45207.0:108281.0:45208.0:108283.0:45210.0:108285.0:45210.0:108286.0:45211.0:108288.0:45211.0:108292.0:45207.0:108292.0:45200.0:108291.0:45199.0:108291.0:45198.0:108290.0:45197.0:108290.0:45196.0:108286.0:45192.0]
659,659,[110247.0:45195.0:110246.0:45196.0:110242.0:45196.0:110241.0:45197.0:110240.0:45197.0:110239.0:45198.0:110239.0:45199.0:110238.0:45200.0:110238.0:45203.0:110237.0:45204.0:110237.0:45207.0:110236.0:45208.0:110234.0:45208.0:110233.0:45207.0:110232.0:45207.0:110231.0:45206.0:110230.0:45206.0:110229.0:45205.0:110228.0:45205.0:110227.0:45204.0:110227.0:45200.0:110225.0:45200.0:110224.0:45199.0:110222.0:45199.0:110219.0:45196.0:110217.0:45196.0:110215.0:45198.0:110211.0:45198.0:110210.0:45199.0:110210.0:45200.0:110209.0:45201.0:110209.0:45206.0:110210.0:45206.0:110211.0:45207.0:110218.0:45207.0:110219.0:45208.0:110224.0:45208.0:110228.0:45212.0:110228.0:45213.0:110229.0:45213.0:110230.0:45214.0:110240.0:45214.0:110241.0:45215.0:110244.0:45215.0:110245.0:45216.0:110248.0:45216.0:110249.0:45215.0:110253.0:45215.0:110254.0:45214.0:110254.0:45210.0:110256.0:45208.0:110256.0:45206.0:110257.0:45205.0:110257.0:45197.0:110255.0:45195.0]
809,809,[111322.0:45186.0:111321.0:45187.0:111319.0:45187.0:111318.0:45188.0:111317.0:45188.0:111316.0:45189.0:111315.0:45189.0:111314.0:45190.0:111313.0:45190.0:111311.0:45192.0:111311.0:45193.0:111310.0:45194.0:111310.0:45196.0:111309.0:45197.0:111309.0:45199.0:111308.0:45200.0:111308.0:45202.0:111307.0:45203.0:111307.0:45204.0:111306.0:45205.0:111306.0:45213.0:111308.0:45215.0:111309.0:45215.0:111310.0:45216.0:111311.0:45216.0:111314.0:45219.0:111313.0:45220.0:111314.0:45221.0:111314.0:45222.0:111315.0:45223.0:111319.0:45223.0:111322.0:45220.0:111323.0:45220.0:111325.0:45218.0:111326.0:45218.0:111327.0:45217.0:111329.0:45217.0:111332.0:45214.0:111332.0:45213.0:111333.0:45212.0:111333.0:45211.0:111334.0:45210.0:111334.0:45209.0:111335.0:45208.0:111335.0:45202.0:111334.0:45201.0:111334.0:45198.0:111333.0:45197.0:111333.0:45196.0:111332.0:45195.0:111332.0:45194.0:111331.0:45193.0:111331.0:45192.0:111329.0:45190.0:111329.0:45189.0:111328.0:45188.0:111327.0:45188.0:111326.0:45187.0:111325.0:45187.0:111324.0:45186.0]
290,290,[108002.0:45188.0:108002.0:45212.0:108003.0:45211.0:108009.0:45211.0:108010.0:45210.0:108013.0:45210.0:108014.0:45209.0:108015.0:45209.0:108016.0:45208.0:108016.0:45201.0:108015.0:45200.0:108015.0:45199.0:108014.0:45198.0:108014.0:45197.0:108011.0:45194.0:108011.0:45193.0:108010.0:45192.0:108010.0:45191.0:108008.0:45189.0:108007.0:45189.0:108006.0:45188.0]
660,660,[108779.0:45186.0:108778.0:45187.0:108778.0:45188.0:108776.0:45190.0:108776.0:45191.0:108775.0:45192.0:108775.0:45193.0:108774.0:45194.0:108774.0:45196.0:108772.0:45198.0:108773.0:45199.0:108773.0:45201.0:108772.0:45202.0:108769.0:45202.0:108767.0:45204.0:108767.0:45209.0:108766.0:45210.0:108766.0:45217.0:108767.0:45218.0:108768.0:45218.0:108769.0:45219.0:108770.0:45219.0:108771.0:45220.0:108775.0:45220.0:108776.0:45219.0:108780.0:45219.0:108781.0:45218.0:108783.0:45218.0:108784.0:45217.0:108785.0:45217.0:108786.0:45216.0:108786.0:45215.0:108789.0:45212.0:108789.0:45211.0:108790.0:45210.0:108790.0:45207.0:108791.0:45206.0:108791.0:45198.0:108790.0:45197.0:108790.0:45190.0:108789.0:45189.0:108789.0:45188.0:108788.0:45187.0:108787.0:45187.0:108786.0:45186.0]
754,754,[109072.0:45186.0:109072.0:45191.0:109073.0:45192.0:109073.0:45195.0:109074.0:45196.0:109074.0:45201.0:109075.0:45202.0:109075.0:45203.0:109076.0:45204.0:109078.0:45204.0:109079.0:45205.0:109080.0:45205.0:109082.0:45207.0:109082.0:45208.0:109086.0:45212.0:109087.0:45212.0:109088.0:45213.0:109089.0:45213.0:109090.0:45214.0:109093.0:45214.0:109094.0:45215.0:109098.0:45215.0:109099.0:45214.0:109101.0:45214.0:109102.0:45213.0:109103.0:45213.0:109104.0:45212.0:109105.0:45212.0:109108.0:45209.0:109108.0:45208.0:109109.0:45207.0:109109.0:45205.0:109110.0:45204.0:109110.0:45201.0:109109.0:45200.0:109109.0:45198.0:109108.0:45197.0:109108.0:45196.0:109106.0:45194.0:109105.0:45194.0:109104.0:45193.0:109103.0:45193.0:109102.0:45192.0:109095.0:45192.0:109094.0:45193.0:109088.0:45193.0:109087.0:45192.0:109086.0:45192.0:109081.0:45187.0:109080.0:45187.0:109079.0:45186.0]
1104,1104,[111402.0:45185.0:111400.0:45187.0:111399.0:45187.0:111398.0:45188.0:111396.0:45188.0:111394.0:45190.0:111392.0:45190.0:111391.0:45189.0:111389.0:45189.0:111388.0:45190.0:111386.0:45190.0:111382.0:45194.0:111381.0:45194.0:111380.0:45195.0:111377.0:45195.0:111377.0:45199.0:111378.0:45200.0:111378.0:45202.0:111379.0:45203.0:111379.0:45204.0:111380.0:45205.0:111380.0:45207.0:111381.0:45208.0:111381.0:45209.0:111382.0:45210.0:111382.0:45211.0:111387.0:45216.0:111387.0:45217.0:111389.0:45219.0:111390.0:45219.0:111393.0:45222.0:111397.0:45222.0:111398.0:45221.0:111401.0:45221.0:111402.0:45220.0:111404.0:45220.0:111405.0:45219.0:111406.0:45219.0:111411.0:45214.0:111412.0:45214.0:111413.0:45213.0:111413.0:45212.0:111415.0:45210.0:111415.0:45209.0:111416.0:45208.0:111416.0:45202.0:111415.0:45201.0:111415.0:45189.0:111414.0:45188.0:111414.0:45187.0:111413.0:45186.0:111412.0:45186.0:111411.0:45185.0]
541,541,[111983.0:45197.0:111981.0:45199.0:111981.0:45203.0:111982.0:45204.0:111982.0:45206.0:111984.0:45208.0:111984.0:45209.0:111986.0:45211.0:111986.0:45214.0:111985.0:45215.0:111985.0:45216.0:111984.0:45217.0:111984.0:45219.0:111983.0:45220.0:111983.0:45222.0:111984.0:45223.0:111984.0:45224.0:111991.0:45231.0:111992.0:45231.0:111995.0:45234.0:111997.0:45234.0:111998.0:45233.0:111999.0:45233.0:111999.0:45201.0:111998.0:45200.0:111997.0:45200.0:111996.0:45199.0:111994.0:45199.0:111993.0:45200.0:111992.0:45199.0:111991.0:45199.0:111989.0:45197.0]
375,375,[108039.0:45198.0:108038.0:45199.0:108037.0:45199.0:108035.0:45201.0:108035.0:45202.0:108034.0:45203.0:108034.0:45212.0:108035.0:45213.0:108035.0:45214.0:108036.0:45215.0:108038.0:45215.0:108039.0:45216.0:108040.0:45216.0:108041.0:45217.0:108042.0:45217.0:108043.0:45218.0:108044.0:45218.0:108045.0:45219.0:108046.0:45219.0:108047.0:45220.0:108051.0:45220.0:108054.0:45217.0:108054.0:45210.0:108053.0:45209.0:108053.0:45203.0:108052.0:45202.0:108051.0:45202.0:108050.0:45203.0:108049.0:45203.0:108047.0:45201.0:108047.0:45199.0:108046.0:45199.0:108045.0:45198.0]
126,126,[108069.0:45202.0:108066.0:45205.0:108066.0:45207.0:108068.0:45209.0:108068.0:45210.0:108069.0:45211.0:108070.0:45211.0:108071.0:45212.0:108073.0:45212.0:108074.0:45213.0:108075.0:45212.0:108077.0:45212.0:108079.0:45210.0:108079.0:45205.0:108077.0:45203.0:108076.0:45203.0:108075.0:45202.0]
886,886,[108891.0:45194.0:108890.0:45195.0:108883.0:45195.0:108882.0:45196.0:108881.0:45196.0:108877.0:45200.0:108877.0:45201.0:108874.0:45204.0:108874.0:45208.0:108875.0:45209.0:108875.0:45210.0:108876.0:45211.0:108876.0:45212.0:108881.0:45217.0:108881.0:45218.0:108884.0:45221.0:108885.0:45221.0:108887.0:45223.0:108893.0:45223.0:108894.0:45222.0:108897.0:45222.0:108898.0:45221.0:108900.0:45221.0:108901.0:45220.0:108902.0:45220.0:108903.0:45219.0:108904.0:45219.0:108906.0:45217.0:108907.0:45217.0:108908.0:45216.0:108908.0:45215.0:108910.0:45213.0:108910.0:45212.0:108911.0:45211.0:108911.0:45210.0:108912.0:45209.0:108912.0:45202.0:108909.0:45199.0:108908.0:45199.0:108905.0:45196.0:108904.0:45196.0:108903.0:45195.0:108902.0:45195.0:108901.0:45194.0]
1094,1094,[108812.0:45186.0:108812.0:45187.0:108811.0:45188.0:108810.0:45188.0:108810.0:45195.0:108809.0:45196.0:108809.0:45198.0:108808.0:45199.0:108808.0:45201.0:108807.0:45202.0:108807.0:45205.0:108808.0:45206.0:108808.0:45208.0:108809.0:45209.0:108809.0:45211.0:108810.0:45212.0:108810.0:45214.0:108811.0:45215.0:108811.0:45216.0:108812.0:45217.0:108812.0:45218.0:108814.0:45220.0:108815.0:45220.0:108817.0:45222.0:108818.0:45222.0:108819.0:45223.0:108821.0:45223.0:108822.0:45224.0:108830.0:45224.0:108831.0:45223.0:108833.0:45223.0:108834.0:45222.0:108835.0:45222.0:108841.0:45216.0:108842.0:45216.0:108842.0:45214.0:108843.0:45213.0:108843.0:45212.0:108844.0:45211.0:108844.0:45206.0:108843.0:45205.0:108843.0:45204.0:108842.0:45203.0:108842.0:45201.0:108841.0:45200.0:108841.0:45198.0:108840.0:45197.0:108840.0:45196.0:108839.0:45195.0:108839.0:45193.0:108840.0:45192.0:108837.0:45192.0:108836.0:45191.0:108831.0:45191.0:108831.0:45192.0:108830.0:45193.0:108828.0:45191.0:108829.0:45190.0:108823.0:45190.0:108822.0:45189.0:108817.0:45189.0:108816.0:45188.0:108816.0:45187.0:108815.0:45187.0:108814.0:45186.0]
